,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7
msg_bt,7.8,7.8,7.8,7.8,7.8,7.7,7.3,2.4
msg_lu,8.0,8.0,8.0,8.0,8.0,8.0,7.7,1.3
msg_sp,8.0,8.0,8.0,8.0,8.0,7.9,6.0,1.9
msg_sppm,6.6,5.3,5.2,5.1,5.0,4.9,4.3,2.3
msg_sweep3d,7.7,8.0,8.0,8.0,8.0,8.0,6.9,0.2
num_brain,8.0,8.0,8.0,8.0,8.0,8.0,6.7,0.0
num_comet,7.7,7.7,5.5,4.0,7.7,7.7,7.5,2.0
num_control,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2.7
num_plasma,8.0,8.0,8.0,8.0,8.0,8.0,6.6,0.9
obs_error,7.6,7.6,7.6,7.6,7.6,7.6,6.2,0.8
obs_info,8.0,8.0,8.0,8.0,8.0,8.0,6.5,1.6
obs_spitzer,7.9,7.9,5.6,4.0,7.9,7.6,4.0,2.0
obs_temp,8.0,8.0,8.0,8.0,8.0,8.0,6.8,1.7
