,size (megabytes),singles (millions),unique values (percent),1st order entropy (bits),randomness (percent),entropy byte 0 / lsb (bits),entropy byte 1 (bits),entropy byte 2 (bits),entropy byte 3 / msb (bits)
msg_bt,127.0,33.30,76.7,22.75,92.5,7.79,7.80,7.56,4.89
msg_lu,92.6,24.26,90.8,24.29,99.6,7.85,8.00,7.97,4.16
msg_sp,138.3,36.26,59.3,23.28,95.6,7.97,8.00,7.35,3.82
msg_sppm,133.0,34.87,6.6,8.41,39.8,4.76,4.68,4.68,3.20
msg_sweep3d,60.0,15.72,18.2,19.69,91.8,7.01,7.97,7.94,3.01
num_brain,67.6,17.73,77.4,23.58,99.5,7.00,8.00,7.98,2.83
num_comet,51.2,13.42,88.4,21.88,93.1,6.78,7.71,7.68,5.38
num_control,76.1,19.94,96.7,24.08,99.5,8.00,8.00,7.97,5.39
num_plasma,16.7,4.39,0.3,13.65,99.4,7.80,7.98,7.92,2.83
obs_error,29.6,7.77,17.7,17.78,87.2,6.68,7.59,7.54,2.66
obs_info,9.0,2.37,23.9,18.07,94.5,8.00,8.00,7.96,2.71
obs_spitzer,94.5,24.77,5.7,17.36,85.0,7.77,7.84,5.84,2.65
obs_temp,19.0,4.99,96.7,22.18,99.9,7.87,8.00,7.97,2.85
